名称,シンドローム,最大Lv,タイミング,技能,難易度,対象,射程,侵蝕値,制限,,効果,内容,侵触率基本値,ｲｰｼﾞｰ,ｴﾈﾐｰ,ﾀﾞｲｽ,C値,C下,達成値,ATK,ID(検索用),出典,備考,,,簡単効果,,,,
猫の瞳,キュマイラ,1,常時,-,自動成功,自身,至近,-,-,,"あなたの感覚器を猫やコウモリなどの暗闇を見通すものに変化させるエフェクト。
そのシーンの間。あなたは暗聞を見通すことができる。GMは必要と感じたなら、〈知覚〉による判定を行なわせてもよい。",あなたの感覚器を猫やコウモリなどの暗闇を見通すものに変化させるエフェクト。,,TRUE,FALSE,,,,,,329,2,,,,整備中！まってね,あなたの感覚器を猫やコウモリなどの暗闇を見通すものに変化させるエフェクト。そのシーンの間。あなたは暗聞を見通すことができる。GMは必要と感じたなら、(知覚)による判定を行なわせてもよい。,あなたの感覚器を猫やコウモリなどの暗闇を見通すものに変化させる,そのシーンの間。あなたは暗聞を見通すことができる。GMは必要と感じたなら、(知覚)による判定を行なわせてもよい。,
眠れる遺伝子,キュマイラ,1,常時,-,自動成功,自身,至近,-,-,,"あなたの内側に眠っている獣の遺伝子を覚醒させることで、常に動物の姿で日常を過ごすエフェクト。
ただし、あくまで動物の姿になれるだけで、機能が偏わるわけではない。もし誰かがあなたが動物でないことを見抜こうとした場合。〈知覚〉同士による対決を行なうこと。",あなたの内側に眠っている獣の遺伝子を覚醒させることで、常に動物の姿で日常を過ごすエフェクト。,,TRUE,FALSE,,,,,,330,2,,,,整備中！まってね,あなたの内側に眠っている獣の遺伝子を覚醒させることで、常に動物の姿で日常を過ごすエフェクト。ただし、あくまで動物の姿になれるだけで、機能が偏わるわけではない。もし誰かがあなたが動物でないことを見抜こうとした場合。(知覚)同士による対決を行なうこと。,あなたの内側に眠っている獣の遺伝子を覚醒させることで、常に動物の姿で日常を過ごす,ただし、あくまで動物の姿になれるだけで、機能が偏わるわけではない。もし誰かがあなたが動物でないことを見抜こうとした場合。(知覚)同士による対決を行なうこと。,
妖の招き,エグザイル,3,メジャーアクション,白兵,対決,単体,20m,2,-,,このエフェクトを組み合わせた白兵攻撃で、対象に1点でもHPダメージを与えた場合、対象をあなたのいるエンゲージへ移動させる。このエフェクトは1シーンにLV回まで使用できる。,肉体を伸ばして対象をつかみ、あなたのそばに引き寄せるエフェクト。,,FALSE,FALSE,,,,,,331,2,,,,整備中！まってね,肉体を伸ばして対象をつかみ、あなたのそばに引き寄せるエフェクト。このエフェクトを組み合わせた白兵攻撃で、対象に1点でもHPダメージを与えた場合、対象をあなたのいるエンゲージへ移動させる。このエフェクトは1シーンにLV回まで使用できる。,肉体を伸ばして対象をつかみ、あなたのそばに引き寄せる,このエフェクトを組み合わせた白兵攻撃で、対象に1点でもHPダメージを与えた場合、対象をあなたのいるエンゲージへ移動させる。このエフェクトは1シーンにLV回まで使用できる。,
異形の刻印,エグザイル,10,常時,-,自動成功,自身,至近,-,-,,あなたの最大HPを+[LV×5]する。このエフェクトは侵蝕率でレベルアップしない。このエフェクトを取得した場合、侵触率基本値を+3する。,みずからの肉体構造を、もっとも活動に適したものへ変化させるエフェクト。,3,FALSE,FALSE,,,,,,332,2,,,,整備中！まってね,みずからの肉体構造を、もっとも活動に適したものへ変化させるエフェクト。あなたの最大HPを+[LV×5]する。このエフェクトは侵蝕率でレベルアップしない。このエフェクトを取得した場合、侵触率基本値を+3する。,みずからの肉体構造を、もっとも活動に適したものへ変化させる,あなたの最大HPを+[LV×5]する。このエフェクトは侵蝕率でレベルアップしない。このエフェクトを取得した場合、侵触率基本値を+3する。,
異形の祭典,エグザイル,5,メジャーアクション,シンドローム,対決,[LV+1]体,-,3,-,,このエフェクトを組み合わせた攻撃の対象を[LV+1]体に変更する。このエフェクトは1シーンに1回まで使用できる。,無数の腕や触手を体内から生み出し、攻撃を行なうエフェクト。,,FALSE,FALSE,,,,,,333,2,,,,整備中！まってね,無数の腕や触手を体内から生み出し、攻撃を行なうエフェクト。このエフェクトを組み合わせた攻撃の対象を[LV+1]体に変更する。このエフェクトは1シーンに1回まで使用できる。,無数の腕や触手を体内から生み出し、攻撃を行なう,このエフェクトを組み合わせた攻撃の対象を[LV+1]体に変更する。このエフェクトは1シーンに1回まで使用できる。,
異形の守り,エグザイル,1,オートアクション,-,自動成功,自身,至近,2,-,,重圧を受けていても使用可能。あなたがバッドステータスを受けた直後に使用する。暴走以外のバッドステータスをひとつ回復する。複数のバッドステータスを受けた場合、どのバッドステータスを回復するかは、あなたが決定する。,肉体を変形することで、あらゆる悪条件から逃れるエフェクト。,,FALSE,FALSE,,,,,,335,2,,,,整備中！まってね,肉体を変形することで、あらゆる悪条件から逃れるエフェクト。重圧を受けていても使用可能。あなたがバッドステータスを受けた直後に使用する。暴走以外のバッドステータスをひとつ回復する。複数のバッドステータスを受けた場合、どのバッドステータスを回復するかは、あなたが決定する。,肉体を変形することで、あらゆる悪条件から逃れる,重圧を受けていても使用可能。あなたがバッドステータスを受けた直後に使用する。暴走以外のバッドステータスをひとつ回復する。複数のバッドステータスを受けた場合、どのバッドステータスを回復するかは、あなたが決定する。,
命のカーテン,エグザイル,3,オートアクション,-,自動成功,自身,至近,4,-,,あなたが《崩れずの群れ》を使用する直前に宣言する。そのカバーリングはあなたから10m離れたキャラクターに行なえる。このエフェクトは1シナリオにLV回まで使用できる。,(崩れずの群れ》で分離した肉体を引き延ばし、離れた仲間をかばうエフェクト。,,FALSE,FALSE,,,,,,336,2,,,,整備中！まってね,(崩れずの群れ》で分離した肉体を引き延ばし、離れた仲間をかばうエフェクト。あなたが《崩れずの群れ》を使用する直前に宣言する。そのカバーリングはあなたから10m離れたキャラクターに行なえる。このエフェクトは1シナリオにLV回まで使用できる。,(崩れずの群れ》で分離した肉体を引き延ばし、離れた仲間をかばう,あなたが《崩れずの群れ》を使用する直前に宣言する。そのカバーリングはあなたから10m離れたキャラクターに行なえる。このエフェクトは1シナリオにLV回まで使用できる。,
うごめく沼,エグザイル,1,リアクション,回避,対決,自身,至近,2,-,,このエフェクトを組み合わせたドッジに成功した場合、あなたは戦闘移動を行なう。この移動では、離脱を行なえる。このエフェクトは1ラウンドに1回まで使用できる。,みずからの肉体を液状化し、攻撃をかわしながら移動を行なうエフェクト。,,FALSE,FALSE,,,,,,338,2,,,,整備中！まってね,みずからの肉体を液状化し、攻撃をかわしながら移動を行なうエフェクト。このエフェクトを組み合わせたドッジに成功した場合、あなたは戦闘移動を行なう。この移動では、離脱を行なえる。このエフェクトは1ラウンドに1回まで使用できる。,みずからの肉体を液状化し、攻撃をかわしながら移動を行なう,このエフェクトを組み合わせたドッジに成功した場合、あなたは戦闘移動を行なう。この移動では、離脱を行なえる。このエフェクトは1ラウンドに1回まで使用できる。,
ウルトラボンバー,エグザイル,5,メジャーアクション,射撃,対決,範囲,至近,4,-,,「攻撃力：+[(LV×5)+5]」の射撃攻撃を行なう。この攻撃には対象はリアクションを行なえない。このエフェクトを使用したメインプロセスの終了時に、あなたのHPは0となる。このエフェクトはあなたを対象にできず、1シーンに1回まで使用できる。,自爆することで周囲にダメージを与えるエフェクト。,,FALSE,FALSE,,,,,,340,2,,,,整備中！まってね,自爆することで周囲にダメージを与えるエフェクト。「攻撃力:+[(LV×5)+5]」の射撃攻撃を行なう。この攻撃には対象はリアクションを行なえない。このエフェクトを使用したメインプロセスの終了時に、あなたのHPは0となる。このエフェクトはあなたを対象にできず、1シーンに1回まで使用できる。,自爆することで周囲にダメージを与える,「攻撃力:+[(LV×5)+5]」の射撃攻撃を行なう。この攻撃には対象はリアクションを行なえない。このエフェクトを使用したメインプロセスの終了時に、あなたのHPは0となる。このエフェクトはあなたを対象にできず、1シーンに1回まで使用できる。,
エンタングル,エグザイル,3,メジャーアクション,白兵,対決,-,武器,2,-,,このエフェクトを組み合わせた白兵攻撃で、対象に1点でもHPダメージを与えた場合、対象にバッドステータスの重圧を与える。このエフェクトは1シーンにLV回まで使用できる。,四肢を触手化させ、巻きつかせるエフェクト。,,FALSE,FALSE,,,,,,341,2,,,,整備中！まってね,四肢を触手化させ、巻きつかせるエフェクト。このエフェクトを組み合わせた白兵攻撃で、対象に1点でもHPダメージを与えた場合、対象にバッドステータスの重圧を与える。このエフェクトは1シーンにLV回まで使用できる。,四肢を触手化させ、巻きつかせる,このエフェクトを組み合わせた白兵攻撃で、対象に1点でもHPダメージを与えた場合、対象にバッドステータスの重圧を与える。このエフェクトは1シーンにLV回まで使用できる。,
餓鬼魂の使い,エグザイル,5,オートアクション,-,自動成功,単体,視界,3,-,,対象がHPダメージを受けた際に使用する。対象にバッドステータスの邪毒を与える。邪毒のランクは3とする。このエフェクトは1シーンにLV回まで使用できる。,傷口からみずからの体の一部を対象に埋め込み持続的なダメージを与えるエフェクト。,,FALSE,FALSE,,,,,,344,2,,,,整備中！まってね,傷口からみずからの体の-部を対象に埋め込み持続的なダメージを与えるエフェクト。対象がHPダメージを受けた際に使用する。対象にバッドステータスの邪毒を与える。邪毒のランクは3とする。このエフェクトは1シーンにLV回まで使用できる。,傷口からみずからの体の-部を対象に埋め込み持続的なダメージを与える,対象がHPダメージを受けた際に使用する。対象にバッドステータスの邪毒を与える。邪毒のランクは3とする。このエフェクトは1シーンにLV回まで使用できる。,
自動触手,エグザイル,5,オートアクション,-,自動成功,自身,至近,2,-,,あなたがガードを行なう際に宣言する。あなたを攻撃してきたキャラクターに[LV×3]点のHPダメージを与える。このエフェクトは1ラウンドに1回まで使用できる。,あなたに攻撃する者に対して反撃を返す触手を生やすエフェクト。,,FALSE,FALSE,,,,,,352,2,,,,整備中！まってね,あなたに攻撃する者に対して反撃を返す触手を生やすエフェクト。あなたがガードを行なう際に宣言する。あなたを攻撃してきたキャラクターに[LV×3]点のHPダメージを与える。このエフェクトは1ラウンドに1回まで使用できる。制限:-,あなたに攻撃する者に対して反撃を返す触手を生やす,あなたがガードを行なう際に宣言する。あなたを攻撃してきたキャラクターに[LV×3]点のHPダメージを与える。このエフェクトは1ラウンドに1回まで使用できる。制限:-,
死神の針,エグザイル,5,メジャーアクション,射撃,対決,単体,視界,3,-,,このエフェクトを組み合わせた白兵攻撃の射程を視界に変更する。このエフェクトを組み合わせた判定のダイスを-[3-LV]個する(最大0個)。,髪の毛を針のようにして撃ち出し攻撃するエフェクト。,,FALSE,FALSE,,,,,,353,2,,,,整備中！まってね,髪の毛を針のようにして撃ち出し攻撃するエフェクト。「攻撃力:+[LV×2]」の射撃攻撃を行なう。また、このエフェクトに対するドッジの判定のダイスを-2個する。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。装備している武器の攻撃力は加算できない。,髪の毛を針のようにして撃ち出し攻撃する,「攻撃力:+[LV×2]」の射撃攻撃を行なう。また、このエフェクトに対するドッジの判定のダイスを-2個する。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。装備している武器の攻撃力は加算できない。,
スプリングシールド,エグザイル,3,オートアクション,-,自動成功,自身,至近,2,-,,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+10する。このエフェクトは1シーンにLV回まで使用できる。,攻撃を受けた部分の肉体をバネのように伸縮させることで衝撃を吸収するエフェクト。,,FALSE,FALSE,,,,,,355,2,,,,整備中！まってね,攻撃を受けた部分の肉体をバネのように伸縮させることで衝撃を吸収するエフェクト。あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+10する。このエフェクトは1シーンにLV回まで使用できる。,攻撃を受けた部分の肉体をバネのように伸縮させることで衝撃を吸収する,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+10する。このエフェクトは1シーンにLV回まで使用できる。,
爪剣,エグザイル,5,メジャーアクション,白兵,対決,単体,武器,3,-,,このエフェクトを組み合わせた白兵攻撃の攻撃力を+[LV×2]する。また、このエフェクトに対するドッジの判定のダイスを-1個する。,硬質化させた爪による一撃を繰り出すエフェクト。,,FALSE,FALSE,,,,,,356,2,,,,整備中！まってね,硬質化させた爪による-撃を繰り出すエフェクト。このエフェクトを組み合わせた白兵攻撃の攻撃力を+[LV×2]する。また、このエフェクトに対するドッジの判定のダイスを-1個する。,硬質化させた爪による-撃を繰り出す,このエフェクトを組み合わせた白兵攻撃の攻撃力を+[LV×2]する。また、このエフェクトに対するドッジの判定のダイスを-1個する。,
貫きの腕,エグザイル,3,メジャーアクション,白兵,対決,単体,武器,3,-,,このエフェクトを組み合わせた攻撃に対して、対象はガードを行なえない。また、この攻撃に対してカバーリングを行なった場合、ガードを行なったものとしてダメージを算出できない。ただし、このエフェクトを組み合わせた攻撃の判定のダイスを-3個する。このエフェクトは1シナリオにLV回まで使用できる。,貫きの腕のエフェクト。,,FALSE,FALSE,,,,,,357,2,,,,整備中！まってね,貫きの腕のエフェクト。このエフェクトを組み合わせた攻撃に対して、対象はガードを行なえない。また、この攻撃に対してカバーリングを行なった場合、ガードを行なったものとしてダメージを算出できない。ただし、このエフェクトを組み合わせた攻撃の判定のダイスを-3個する。このエフェクトは1シナリオにLV回まで使用できる。,貫きの腕の,このエフェクトを組み合わせた攻撃に対して、対象はガードを行なえない。また、この攻撃に対してカバーリングを行なった場合、ガードを行なったものとしてダメージを算出できない。ただし、このエフェクトを組み合わせた攻撃の判定のダイスを-3個する。このエフェクトは1シナリオにLV回まで使用できる。,
デビルストリング,エグザイル,3,オートアクション,-,自動成功,単体,視界,6,-,,対象が「タイミング：オートアクション」のエフェクトを使用した直後に宣言する。対象が使用したエフェクトの効果を打ち消す。ただし、エネミーエフェクト、及び「制限：ー」以外のエフェクトは打ち消せない。打ち消したエフェクトの達成値が必要な場合、0とする。このエフェクトは1シナリオにしV回まで使用できる。,デビルストリングのエフェクト。,,FALSE,FALSE,,,,,,358,2,,,,整備中！まってね,デビルストリングのエフェクト。対象が「タイミング:オートアクション」のエフェクトを使用した直後に宣言する。対象が使用したエフェクトの効果を打ち消す。ただし、エネミーエフェクト、及び「制限:ー」以外のエフェクトは打ち消せない。打ち消したエフェクトの達成値が必要な場合、0とする。このエフェクトは1シナリオにしV回まで使用できる。,デビルストリングの,対象が「タイミング:オートアクション」のエフェクトを使用した直後に宣言する。対象が使用したエフェクトの効果を打ち消す。ただし、エネミーエフェクト、及び「制限:ー」以外のエフェクトは打ち消せない。打ち消したエフェクトの達成値が必要な場合、0とする。このエフェクトは1シナリオにしV回まで使用できる。,
貪欲なる拳,エグザイル,3,メジャーアクション,白兵,対決,-,武器,3,-,,このエフェクトを組み合わせた白兵攻撃のダイスを+[LV+1]個する。,ありえない方向に四肢を曲げることで接近戦を有利に進めるエフェクト。,,FALSE,FALSE,,,,,,359,2,,,,整備中！まってね,ありえない方向に四肢を曲げることで接近戦を有利に進めるエフェクト。このエフェクトを組み合わせた白兵攻撃のダイスを+[LV+1]個する。,ありえない方向に四肢を曲げることで接近戦を有利に進める,このエフェクトを組み合わせた白兵攻撃のダイスを+[LV+1]個する。,
呪われし者の印,エグザイル,5,オートアクション,-,自動成功,自身,至近,3,-,,あなたがなんらかの判定を行なう際に使用する。その判定では、あなたが受けているダイスを減少させる効果を受けない。このエフェクトは1シナリオにLV回まで使用できる。,自身の肉体を細胞レベルまで制御し、目の前のことに集中するエフェクト。,,FALSE,FALSE,,,,,,360,2,,,,整備中！まってね,自身の肉体を細胞レベルまで制御し、目の前のことに集中するエフェクト。あなたがなんらかの判定を行なう際に使用する。その判定では、あなたが受けているダイスを減少させる効果を受けない。このエフェクトは1シナリオにLV回まで使用できる。,自身の肉体を細胞レベルまで制御し、目の前のことに集中する,あなたがなんらかの判定を行なう際に使用する。その判定では、あなたが受けているダイスを減少させる効果を受けない。このエフェクトは1シナリオにLV回まで使用できる。,
ブレインハック,エグザイル,1,メジャーアクション,白兵/射撃,対決,単体,至近,10,-,,このエフェクトを組み合わせた攻撃が命中した場合、バッドステータスの憎悪を与える。憎悪の対象はあなたがシーン内からひとりを選択する。このエフェクトは1シーンに1回まで使用できる。,みずからの一部を他者の体内に潜ませ憎悪をかき立てさせるエフェクト。,,FALSE,FALSE,,,,,,361,2,,,,整備中！まってね,身体を自在に伸縮させて、攻撃の的を絞らせないエフェクト。このエフェクトを組み合わせたドッジのダイスを+LV個する。,身体を自在に伸縮させて、攻撃の的を絞らせない,このエフェクトを組み合わせたドッジのダイスを+LV個する。,
蛇の動き,エグザイル,1,メジャーアクション,回避,対決,単体,至近,1,-,,このエフェクトを組み合わせたドッジのダイスを+LV個する。,身体を自在に伸縮させて、攻撃の的を絞らせないエフェクト。,,FALSE,FALSE,,,,,,362,2,,,,整備中！まってね,みずからの-部を他者の体内に潜ませ憎悪をかき立てさせるエフェクト。このエフェクトを組み合わせた攻撃が命中した場合、バッドステータスの憎悪を与える。憎悪の対象はあなたがシーン内からひとりを選択する。このエフェクトは1シーンに1回まで使用でき,みずからの-部を他者の体内に潜ませ憎悪をかき立てさせる,このエフェクトを組み合わせた攻撃が命中した場合、バッドステータスの憎悪を与える。憎悪の対象はあなたがシーン内からひとりを選択する。このエフェクトは1シーンに1回まで使用でき,
異世界の因子,エグザイル,1,オートアクション,-,自動成功,効果参照,視界,5,80%,,いつでも使用できる。あなたの登場しているシーン内で使用されたエフェクトひとつを対象とする。そのシーンの間、あなたは対象のエフェクトを取得する。取得したエフェクトのレベルは1となる。この効果でエネミーエフェクト、「制限：ピュアプリード」のエフェクトは取得できない。このエフェクトは1シナリオに1回まで使用できる。,一度見た能力を模倣するエフェクト。,,FALSE,FALSE,,,,,,368,2,,,,整備中！まってね,一度見た能力を模倣するエフェクト。いつでも使用できる。あなたの登場しているシーン内で使用された工フェクトひとつを対象とする。そのシーンの間、あなたは対象のエフェクトを取得する。取得したエフェクトのレベルは1となる。この効果でエネミーエフェクト、「制限:ピュアプリード」のエフェクトは取得できない。このエフェクトは1シナリオに1回まで使用できる。,一度見た能力を模倣する,いつでも使用できる。あなたの登場しているシーン内で使用された工フェクトひとつを対象とする。そのシーンの間、あなたは対象のエフェクトを取得する。取得したエフェクトのレベルは1となる。この効果でエネミーエフェクト、「制限:ピュアプリード」のエフェクトは取得できない。このエフェクトは1シナリオに1回まで使用できる。,
命の剣,エグザイル,1,メジャーアクション,白兵,対決,-,武器,3,100%,,このエフェクトを組み合わせた白兵攻撃の攻撃力を+【肉体】する。,高密度に圧縮した肉体を武器と共に叩きつけるエフェクト。,,FALSE,FALSE,,,,,,371,2,,,,整備中！まってね,高密度に圧縮した肉体を武器と共に叩きつけるエフェクト。このエフェクトを組み合わせた白兵攻撃の攻撃力を+【肉体】する。,高密度に圧縮した肉体を武器と共に叩きつける,このエフェクトを組み合わせた白兵攻撃の攻撃力を+【肉体】する。,
融合,エグザイル,1,セットアッププロセス,-,自動成功,単体,至近,2,120%,,重圧を受けていても使用可能。そのラウンドの間、対象はあなたの持つ《融合》以外のすべてのエフェクトを使用できる。ただし、この効果を受けている間、あなたは移動できず、常に対象と同じエンゲージに移動する。このエフェクトの効果中の処理に関してはP15を参照すること。,体の一部を味方に融合させるエフェクト。,,FALSE,FALSE,,,,,,376,2,,,,整備中！まってね,体の一部を味方に融合させるエフェクト。重圧を受けていても使用可能。そのラウンドの間、対象はあなたの持つ《融合》以外のすべてのエフェクトを使用できる。ただし、この効果を受けている間、あなたは移動できず、常に対象と同じエンゲージに移動する。このエフェクトの効果中の処理に関してはP15を参照すること。,体の一部を味方に融合させる,重圧を受けていても使用可能。そのラウンドの間、対象はあなたの持つ《融合》以外のすべてのエフェクトを使用できる。ただし、この効果を受けている間、あなたは移動できず、常に対象と同じエンゲージに移動する。このエフェクトの効果中の処理に関してはP15を参照すること。,
マルチアタック,エグザイル,3,オートアクション,-,自動成功,自身,至近,5,ピュアブリード,,あなたが攻撃の判定、またはドッジを行なった直後に使用する。その判定の達成値を+10する。このエフェクトは1シナリオにLV回まで使用できる。,肉体を分裂させて、攻撃を回避したり、相手の逃げ道を塞ぐエフェクト。,,FALSE,FALSE,,,,,,378,2,,,,整備中！まってね,肉体を分裂させて、攻撃を回避したり、相手の逃げ道を塞ぐエフェクト。あなたが攻撃の判定、またはドッジを行なった直後に使用する。その判定の達成値を+10する。このエフェクトは1シナリオにLV回まで使用できる。,肉体を分裂させて、攻撃を回避したり、相手の逃げ道を塞ぐ,あなたが攻撃の判定、またはドッジを行なった直後に使用する。その判定の達成値を+10する。このエフェクトは1シナリオにLV回まで使用できる。,
異形の歩み,エグザイル,1,常時,-,自動成功,自身,至近,-,-,,"肉体を変形させて、どんな場所でも移動が可能とするエフェクト。
垂直の壁も、平たい天井も、あなたは移動できるのだ。GMは必要と感じたなら、【肉体】による判定を行なわせてもよい。",肉体を変形させて、どんな場所でも移動が可能とするエフェクト。,,TRUE,FALSE,,,,,,382,2,,,,整備中！まってね,肉体を変形させて、どんな場所でも移動が可能とするエフェクト。垂直の壁も、平たい天井も、あなたは移動できるのだ。GMは必要と感じたなら、【肉体】による判定を行なわせてもよい。,肉体を変形させて、どんな場所でも移動が可能とする,垂直の壁も、平たい天井も、あなたは移動できるのだ。GMは必要と感じたなら、【肉体】による判定を行なわせてもよい。,
異能の指先,エグザイル,1,メジャーアクション,-,自動成功,単体,至近,3,-,,"神経系に侵入して、相手の記憶を読み取るエフェクト。
ただし、相手に抵抗の意志がある状態では使用できない。あなたの知りたい情報を対象の記憶から引き出せる。GMは必要と感じたなら、〈RC〉による判定を行なわせてもよい。",神経系に侵入して、相手の記憶を読み取るエフェクト。,,TRUE,FALSE,,,,,,383,2,,,,整備中！まってね,神経系に侵入して、相手の記憶を読み取るエフェクト。ただし、相手に抵抗の意志がある状態では使用できない。あなたの知りたい情報を対象の記憶から引き出せる。GMは必要と感じたなら、<RC)による判定を行なわせてもよい。,神経系に侵入して、相手の記憶を読み取る,ただし、相手に抵抗の意志がある状態では使用できない。あなたの知りたい情報を対象の記憶から引き出せる。GMは必要と感じたなら、<RC)による判定を行なわせてもよい。,
鍵いらずの歩み,エグザイル,1,メジャーアクション,-,自動成功,自身,至近,-,-,,"みずからの身体を折りたたんだり、液状化させることによってドアの隙間などを通り抜けるエフェクト。
普通の人間では通れないわずかな隙間も、あなたにとっては広々とした通り道だ。",みずからの身体を折りたたんだり、液状化させることによってドアの隙間などを通り抜けるエフェクト。,,TRUE,FALSE,,,,,,384,2,,,,整備中！まってね,みずからの身体を折りたたんだり、液状化させることによってドアの隙間などを通り抜けるエフェクト。普通の人間では通れないわずかな隙間も、あなたにとっては広々とした通り道だ。,みずからの身体を折りたたんだり、液状化させることによってドアの隙間などを通り抜ける,普通の人間では通れないわずかな隙間も、あなたにとっては広々とした通り道だ。,
擬態の仮面,エグザイル,1,メジャーアクション,-,自動成功,自身,至近,-,-,,"みずからの顔や姿をその場に最も適したものに変化させるエフェクト。
もし誰かがこの変化を見破ろうとした場合、(知覚)同士による対決を行なうこと。なお、元の姿にはオートアクションで戻れるが、再び変身するにはこのエフェクトを使わなければならない。",みずからの顔や姿をその場に最も適したものに変化させるエフェクト。,,TRUE,FALSE,,,,,,386,2,,,,整備中！まってね,みずからの顔や姿をその場に最も適したものに変化させるエフェクト。もし誰かがこの変化を見破ろうとした場合、(知覚)同士による対決を行なうこと。なお、元の姿にはオートアクションで戻れるが、再び変身するにはこのエフェクトを使わなければならない。,みずからの顔や姿をその場に最も適したものに変化させる,もし誰かがこの変化を見破ろうとした場合、(知覚)同士による対決を行なうこと。なお、元の姿にはオートアクションで戻れるが、再び変身するにはこのエフェクトを使わなければならない。,
十徳指,エグザイル,1,メジャーアクション,-,自動成功,自身,至近,-,-,,"指先を色々な形に変形させ、専用の工具の代わりに使用するエフェクト。
望むなら万能鍵の代わりにすることもできる。あなたはどんなに難しい作業でも熟練の職人のようにこなせる。GMは必要と感じたなら、<知識：機械工学〉による判定を行なわせてもよい。",指先を色々な形に変形させ、専用の工具の代わりに使用するエフェクト。,,TRUE,FALSE,,,,,,387,2,,,,整備中！まってね,指先を色々な形に変形させ、専用の工具の代わりに使用するエフェクト。望むなら万能鍵の代わりにすることもできる。あなたはどんなに難しい作業でも熟練の職人のようにこなせる。GMは必要と感じたなら、<知識:機械工学〉による判定を行なわせてもよい。,指先を色々な形に変形させ、専用の工具の代わりに使用する,望むなら万能鍵の代わりにすることもできる。あなたはどんなに難しい作業でも熟練の職人のようにこなせる。GMは必要と感じたなら、<知識:機械工学〉による判定を行なわせてもよい。,
生体侵入,エグザイル,1,メジャーアクション,-,自動成功,単体,至近,4,-,,"他者の体内に入り込むエフェクト。
ただし、このエフェクトを使用するためには対象が戦闘不能だったり、就寝中など意識のない状態でなければならない。あなたは他者に入り込んでいる状態では隠密状態となり、宿主が移動した場合、同時に移動する。この状態は隠密状態が解除されると自動的に解除される。",他者の体内に入り込むエフェクト。,,TRUE,FALSE,,,,,,388,2,,,,整備中！まってね,他者の体内に入り込むエフェクト。ただし、このエフェクトを使用するためには対象が戦闘不能だったり、就寝中など意識のない状態でなければならない。あなたは他者に入り込んでいる状態では隠密状態となり、宿主が移動した場合、同時に移動する。この状態は隠密状態が解除されると自動的に解除される。,他者の体内に入り込む,ただし、このエフェクトを使用するためには対象が戦闘不能だったり、就寝中など意識のない状態でなければならない。あなたは他者に入り込んでいる状態では隠密状態となり、宿主が移動した場合、同時に移動する。この状態は隠密状態が解除されると自動的に解除される。,
物質変化,エグザイル,1,メジャーアクション,-,自動成功,自身,至近,-,-,,"物品や植物などにその身を変えるエフェクト。
あなたを見る者は、そこにタンスやー本の木の姿を見るだけだろう。もし誰かがこの変身を見破ろうとした場合、<知覚〉同士による対決を行なうこと。",物品や植物などにその身を変えるエフェクト。,,TRUE,FALSE,,,,,,389,2,,,,整備中！まってね,物品や植物などにその身を変えるエフェクト。あなたを見る者は、そこにタンスやー本の木の姿を見るだけだろう。もし誰かがこの変身を見破ろうとした場合、<知覚〉同士による対決を行なうこと。,物品や植物などにその身を変える,あなたを見る者は、そこにタンスやー本の木の姿を見るだけだろう。もし誰かがこの変身を見破ろうとした場合、<知覚〉同士による対決を行なうこと。,
アースシェイカー,ハヌマーン,3,メジャーアクション,RC,対決,-,視界,2,-,,射撃攻撃を行なう。命中した場合、そのシーンの間、対象が行なうあらゆる判定のダイスを-LV個する。,局地的な地震を引き起こし、相手の体勢を崩すエフェクト。,,FALSE,FALSE,,,,,,390,2,,,,整備中！まってね,局地的な地震を引き起こし、相手の体勢を崩すエフェクト。射撃攻撃を行なう。命中した場合、そのシーンの間、対象が行なうあらゆる判定のダイスを-LV個する。,局地的な地震を引き起こし、相手の体勢を崩す,射撃攻撃を行なう。命中した場合、そのシーンの間、対象が行なうあらゆる判定のダイスを-LV個する。,
アクティブソナー,ハヌマーン,3,メジャー/リアクション,知覚,-,-,-,1,-,,このエフェクトを組み合わせた判定のダイスを+LV個する。,"みずからが発した超音波やかすかな物音、その振動を感じ取ることによって周囲を知覚するエフェクト。あなたの""耳""の前には、距離も死角も意味を持たない。",,FALSE,FALSE,,,,,,391,2,,,,整備中！まってね,"みずからが発した超音波やかすかな物音、その振動を感じ取ることによって周囲を知覚するエフェクト。あなたの""耳""の前には、距離も死角も意味を持たない。このエフェクトを組み合わせた判定のダイスを+LV個する。",みずからが発した超音波やかすかな物音、その振動を感じ取ることによって周囲を知覚する,"あなたの""耳""の前には、距離も死角も意味を持たない。このエフェクトを組み合わせた判定のダイスを+LV個する。",
