id,技能,系統,区分,Lv,名称(原文),名称(正規),読み,動作,消費,条件,対象,射程/形状,時間,抵抗,属性,効果概要,参照,拡張・適用対象,備考
489,フェアリーテイマー,妖精魔法,闇,3,【ディズ】,ディズ,ディズ,▶,MP4,闇,1体全,2(30m)/起点指定,10秒(1R),消滅,精神効果(弱),対象を放心状態に置く,II-206/MA-142,,
490,フェアリーテイマー,妖精魔法,闇,4,【パニックラン】,パニックラン,パニックラン,▶,MP4,闇,1体X,1(10m)/起点指定,10秒(1R),消滅,精神効果,対象に恐怖を与え、戦闘から逃亡させる,II-206/MA-142,,
491,フェアリーテイマー,妖精魔法,闇,5,【マインドブランク】,マインドブランク,マインドブランク,▶,MP6,闇,1体X,2(30m)/起点指定,一瞬/3分(18R),消滅,精神効果,対象から術者を認識できなくする,II-207/MA-142,,
492,フェアリーテイマー,妖精魔法,闇,6,【ブレイブハート】,ブレイブハート,ブレイブハート,▶,MP5,闇,1体X,1(10m)/起点指定,30秒(3R),任意,,対象を精神効果から守る,II-207/MA-142,,
493,フェアリーテイマー,妖精魔法,闇,7,【マインドリンク】,マインドリンク,マインドリンク,▶,MP9,闇,1体全,接触/-,1時間,任意,精神効果,対象と感覚、意識を共有する,II-207/MA-142,,
494,フェアリーテイマー,妖精魔法,闇,8,【ショッキングウェイブ】,ショッキングウェイブ,ショッキングウェイブ,▶,MP22,闇,1エリア(半径6m)/すべて,術者/-,一瞬/20秒(2R),消滅,精神効果(弱),精神波動で衝撃を与え、放心させる,II-208/MA-142,,
495,フェアリーテイマー,妖精魔法,闇,9,【インサニティ】,インサニティ,インサニティ,▶,MP9,闇,1体X,2(30m)/起点指定,一瞬/さまざま,消滅,精神効果,対象に一時的な狂気を与える,II-208/MA-142,,
496,フェアリーテイマー,妖精魔法,闇,10,【マスキング】,マスキング,マスキング,▶,MP12,闇,1体X,接触/-,1時間,任意,,対象はすべてのものから心理的死角に置かれる,II-208/MA-142,,
497,フェアリーテイマー,妖精魔法,闇,11,【イビルドリーム】,イビルドリーム,イビルドリーム,▶,MP15,闇,1体X,2(無限)/-,永続,消滅,呪い+精神効果,対象に悪夢の呪いを与える,III-184/MA-143,,
498,フェアリーテイマー,妖精魔法,闇,12,【トータルサニティ】,トータルサニティ,トータルサニティ,▶,MP8,闇,1体X,1(10m)/起点指定,一瞬,必中,,対象の精神状態を平常に戻す,III-184/MA-143,,
499,フェアリーテイマー,妖精魔法,闇,13,【フォーゲット】,フォーゲット,フォーゲット,▶,MP16,闇,1体全,1(10m)/起点指定,7日,消滅,精神効果,対象の記憶を失わせる,III-184/MA-143,,
500,フェアリーテイマー,妖精魔法,闇,14,【マインドリード】,マインドリード,マインドリード,▶,MP14,闇,1体全,接触/-,特殊,消滅,精神効果,対象の心に浮かんだ答えを読み取る,III-185/MA-143,,
501,フェアリーテイマー,妖精魔法,闇,15,【マインドクラッシュ】,マインドクラッシュ,マインドクラッシュ,▶,MP13,闇,1体X,1(10m)/起点指定,3分(18R),消滅,精神効果,対象の知力、精神力を-12,III-185/MA-143,,
502,フェアリーテイマー,妖精魔法,ランク1,3,【カオスショット】,カオスショット,カオスショット,▶,MP6,特殊,1体,1(10m)/射撃,一瞬,半減,純エネルギー,k20ダメージ,MA-144,,
503,フェアリーテイマー,妖精魔法,ランク2,6,【カオスブラスト】,カオスブラスト,カオスブラスト,▶,MP8,特殊,1エリア(半径5m)/15,2(30m)/射撃,一瞬,半減,純エネルギー,k20ダメージ,MA-144,,
504,フェアリーテイマー,妖精魔法,ランク3,9,【カオスボム】,カオスボム,カオスボム,▶,MP11,特殊,1エリア(半径6m)/20,2(30m)/起点指定,一瞬,半減,純エネルギー,k30ダメージ,MA-144,,
505,フェアリーテイマー,妖精魔法,ランク4,12,【カオスマッシュ】,カオスマッシュ,カオスマッシュ,▶,MP18,特殊,1エリア(半径6m)/20,2(30m)/起点指定,一瞬,半減,純エネルギー,k50ダメージ,MA-144,,
506,フェアリーテイマー,妖精魔法,ランク5,15,【カオスエクスプロージョン】,カオスエクスプロージョン,カオスエクスプロージョン,▶,MP26,特殊,1エリア(半径6m)/20,2(30m)/起点指定,一瞬,半減,純エネルギー,k80ダメージ,MA-144,,
507,ドルイド,森羅魔法,,1,⏩△【ウイングフライヤー】,ウイングフライヤー,ウイングフライヤー,⏩△,MP3,,1体X,1(10m)/起点指定,10秒(1R),任意,,対象に飛行能力を与える,ML-14,,
508,ドルイド,森羅魔法,,1,【ウルフバイト】,ウルフバイト,ウルフバイト,▶,MP3,,1体,1(10m)/起点指定,一瞬,必中,,0～6+魔力点の物理ダメージ,ML-14,,
509,ドルイド,森羅魔法,,1,【ケイナインチェイサー】,ケイナインチェイサー,ケイナインチェイサー,▶,MP4,,1体全,1(10m)/起点指定,10分(60R),任意,,観察判定+1,ML-14,,
510,ドルイド,森羅魔法,,1,【サラウンディングアタッカー】,サラウンディングアタッカー,サラウンディングアタッカー,▶,MP2,,1体,1(10m)/起点指定,10秒(1R),必中,,対象の回避力-1(1回の命中まで),ML-14,,
511,ドルイド,森羅魔法,,2,⏩△【ウォータードゥエラー】,ウォータードゥエラー,ウォータードゥエラー,⏩△,MP6,,1体X,1(10m)/起点指定,10分(60R),任意,,対象に水中行動能力を与える,ML-14,,
512,ドルイド,森羅魔法,,2,【ナチュラルパワー】,ナチュラルパワー,ナチュラルパワー,▶,MP0,,術者,術者/-,特殊,任意,,一時的なMPを得る,ML-14,,
513,ドルイド,森羅魔法,,2,【バッドスチーム】,バッドスチーム,バッドスチーム,▶,MP3,,1体X,1(10m)/起点指定,3分(18R),生命/消滅,毒,対象の命中力、回避力-1,ML-14,,
514,ドルイド,森羅魔法,,2,【ピジョンメール】,ピジョンメール,ピジョンメール,▶,MP4,,紙1枚,接触/-,一瞬/1日,なし,,遠方に手紙を届ける,ML-14,,
515,ドルイド,森羅魔法,,3,⏩【ネイチャーマスター】,ネイチャーマスター,ネイチャーマスター,⏩,MP1,,術者,術者/-,10秒(1R),任意,,自然に関する知識を得る,ML-15,,
516,ドルイド,森羅魔法,,3,⏩【シャープアタッカー】,シャープアタッカー,シャープアタッカー,⏩,MP2,,1体,1(10m)/起点指定,10秒(1R),必中,,対象に《牽制攻撃I》を習得させる,ML-15,,
517,ドルイド,森羅魔法,,3,【アナコンダコンストリクト】,アナコンダコンストリクト,アナコンダコンストリクト,▶,MP8,,1体X,1(10m)/起点指定,3分(18R),生命/消滅,,対象の動きを止め、命中力、回避力-2,ML-15,,
518,ドルイド,森羅魔法,,3,【ソーンバッシュ】,ソーンバッシュ,ソーンバッシュ,▶,MP5,,1体,1(10m)/起点指定,一瞬,必中,,4～13+魔力点の物理ダメージ,ML-15,,
519,ドルイド,森羅魔法,シンボリックロア,4,⏩△【ビッグディフェンダー/ディノス】,ビッグディフェンダー/ディノス,ビッグディフェンダーディノス,⏩△,MP4,,1体X,2(30m)/起点指定,10秒(1R),任意,,近接攻撃への回避力+4,ML-15,,シンボリックロア
520,ドルイド,森羅魔法,シンボリックロア,4,⏩【マルチプルアクター/ジャイアントクラブ】,マルチプルアクター/ジャイアントクラブ,マルチプルアクタージャイアントクラブ,⏩,MP10,,1体全,2(30m)/起点指定,10秒(1R),任意,,対象に追加の攻撃能力を与える,ML-15,,シンボリックロア
521,ドルイド,森羅魔法,,4,【フリージングブレス】,フリージングブレス,フリージングブレス,▶,MP5,,1体,2(20m)/射撃,一瞬,生命/半減,水・氷,k20ダメージ,ML-15,,
522,ドルイド,森羅魔法,,4,【ポイズンスプレッド】,ポイズンスプレッド,ポイズンスプレッド,▶,MP6,,1エリア(半径3m)/5,1(10m)/起点指定,一瞬,生命/半減,毒,k10ダメージ,ML-15,,
523,ドルイド,森羅魔法,,5,△【シャープアイ/タイガー】,シャープアイ/タイガー,シャープアイタイガー,△,MP5,,術者,術者/-,特殊,任意,,先制判定で達成値14が保証される,ML-16,,
524,ドルイド,森羅魔法,,5,⏩△【スタッフボーンサバイバー】,スタッフボーンサバイバー,スタッフボーンサバイバー,⏩△,MP6,,1体全,1(10m)/起点指定,3分(18R),任意,,毒や病気に対抗する活力を与える,ML-16,,
525,ドルイド,森羅魔法,,5,⏩△【ライトトランナー】,ライトトランナー,ライトトランナー,⏩△,MP5,,1体X,1(10m)/起点指定,10分(60R),任意,,ダメージと引き換えに移動力を+1～10,ML-16,,
526,ドルイド,森羅魔法,,5,⏩【リプロデューサー/ブラッディペタル】,リプロデューサー/ブラッディペタル,リプロデューサーブラッディペタル,⏩,MP6,,1体,1(10m)/起点指定,1分(6R),任意,,対象に毎ラウンド5点のHP回復能力を与える,ML-16,,
527,ドルイド,森羅魔法,,6,⏩△【ファイアプロテクター】,ファイアプロテクター,ファイアプロテクター,⏩△,MP4,,1体X,1(10m)/起点指定,10秒(1R),任意,,対象を炎から完全防護する,ML-16,,
528,ドルイド,森羅魔法,,6,【クリムゾンファング】,クリムゾンファング,クリムゾンファング,▶,MP11,,1体,接触/-,一瞬,生命/消滅,,11+魔力点の物理ダメージを与え、HPを吸収,ML-16,,
529,ドルイド,森羅魔法,,6,【パックカモフラージュ】,パックカモフラージュ,パックカモフラージュ,▶,MP9,,1エリア(半径3m)/5,術者/-,10分(60R),任意,,自然の中に潜める迷彩を得る,ML-16,,
530,ドルイド,森羅魔法,,6,【ペトロヴェノム】,ペトロヴェノム,ペトロヴェノム,▶,MP5,,1体,1(10m)/起点指定,一瞬/3分(18R),生命/消滅,毒,石化進行(器用度or敏捷度/-6),ML-16,,
531,ドルイド,森羅魔法,,7,△【シャープアイ/ジャイアントイーグル】,シャープアイ/ジャイアントイーグル,シャープアイジャイアントイーグル,△,MP6,,術者,術者/-,特殊,任意,,先制判定で達成値18が保証される,ML-17,,
532,ドルイド,森羅魔法,,7,⏩△【フォッシルアブソーバー】,フォッシルアブソーバー,フォッシルアブソーバー,⏩△,MP6,,1体X,2(30m)/起点指定,10秒(1R),任意,,魔法ダメージ-6,ML-17,,
533,ドルイド,森羅魔法,,7,【コングスマッシュ】,コングスマッシュ,コングスマッシュ,▶,MP10,,1体,1(10m)/起点指定,一瞬,必中,,12～18+魔力点の物理ダメージ,ML-17,,
534,ドルイド,森羅魔法,,7,【ピースフルネイチャー】,ピースフルネイチャー,ピースフルネイチャー,▶,MP8,,1エリア(半径6m)/20,2(30m)/起点指定,一瞬/1時間,消滅,,動植物から害意を奪う,ML-17,,
535,ドルイド,森羅魔法,,8,⏩△【コールドプロテクター】,コールドプロテクター,コールドプロテクター,⏩△,MP4,,1体X,1(10m)/起点指定,10秒(1R),任意,,対象を水・氷から完全防護する,ML-17,,
536,ドルイド,森羅魔法,シンボリックロア,8,⏩△【ビッグディフェンダー/シーサーペント】,ビッグディフェンダー/シーサーペント,ビッグディフェンダーシーサーペント,⏩△,MP10,,1体X,2(30m)/起点指定,10秒(1R),任意,,近接攻撃から完全防護、遠隔攻撃への回避力+4,ML-17,,シンボリックロア
537,ドルイド,森羅魔法,,8,【イーグルビジョン】,イーグルビジョン,イーグルビジョン,▶,MP6,,術者,術者/-,10分(60R),任意,,半径1kmを鳥瞰する,ML-17,,
538,ドルイド,森羅魔法,シンボリックロア,8,【マルチプルアクター/クラッシュベア】,マルチプルアクター/クラッシュベア,マルチプルアクタークラッシュベア,▶,MP10+レベル,,1体全,2(30m)/起点指定,10秒(1R),任意,,対象に主動作機会を追加する,ML-17,,シンボリックロア
539,ドルイド,森羅魔法,,9,⏩△【ウイングフライヤーⅡ】,ウイングフライヤーⅡ,ウイングフライヤー,⏩△,MP6,,1体X,1(10m)/起点指定,10秒(1R),任意,,対象に高い飛行能力を与える,ML-18,,
540,ドルイド,森羅魔法,,9,【ノイジィディスターバー】,ノイジィディスターバー,ノイジィディスターバー,▶,MP7,,全エリア(半径50m)/すべて,1(10m)/起点指定,一瞬/10秒(1R),必中,,対象の魔法行使判定、演奏判定-4,ML-18,,
541,ドルイド,森羅魔法,,9,【ホアラッシュ】,ホアラッシュ,ホアラッシュ,▶,MP12,,任意の地点,2(30m)/貫通,一瞬,生命/消滅,,13～19+魔力点の物理ダメージ,ML-18,,
542,ドルイド,森羅魔法,,9,【ライトトラッパー】,ライトトラッパー,ライトトラッパー,▶,MP9,,全エリア(半径50m)/すべて,1(10m)/起点指定,一瞬/10秒(1R),消滅,,光の下に誘引する,ML-18,,
543,ドルイド,森羅魔法,,10,⏩【リプロデューサー/リビングツリー】,リプロデューサー/リビングツリー,リプロデューサーリビングツリー,⏩,MP9,,1体,1(10m)/起点指定,1分(6R),任意,,対象に毎ラウンド10点のHP回復能力を与える,ML-18,,
544,ドルイド,森羅魔法,,10,【チリングブレス】,チリングブレス,チリングブレス,▶,MP11,,1エリア(半径5m)/15,2(20m)/射撃,一瞬/10秒(1R),生命/半減,水・氷,k20ダメージ、命中力、回避力-2,ML-18,,
545,ドルイド,森羅魔法,,10,【プラントリグロウ】,プラントリグロウ,プラントリグロウ,▶,MP25,,2～3エリア(半径10m)/空間,術者/-,一瞬,任意,,植物、メリア、アルボルを再生する,ML-18,,
546,ドルイド,森羅魔法,,10,【マルサーヴラプレス】,マルサーヴラプレス,マルサーヴラプレス,▶,MP14,,1エリア(半径6m)/すべて,術者/-,一瞬,生命/消滅,,18～24+魔力点の物理ダメージ,ML-18,,
547,ドルイド,森羅魔法,シンボリックロア,11,⏩△【ビッグディフェンダー/ヒドラ】,ビッグディフェンダー/ヒドラ,ビッグディフェンダーヒドラ,⏩△,MP7,,1体全,2(30m)/起点指定,10秒(1R),任意,,近接攻撃、遠隔攻撃を2回まで無効化,ML-19,,
548,ドルイド,森羅魔法,,11,⏩【ポイズナスアタッカー】,ポイズナスアタッカー,ポイズナスアタッカー,⏩,MP6,,1体X,1(10m)/起点指定,10秒(1R),任意,,攻撃を毒属性にし、ダメージ+5,ML-19,,
549,ドルイド,森羅魔法,,11,【サイケデリックスポア】,サイケデリックスポア,サイケデリックスポア,▶,MP17,,1エリア(半径6m)/すべて,2(30m)/起点指定,一瞬/10秒(1R),生命/消滅,病気,行動判定-4,ML-19,,
550,ドルイド,森羅魔法,,11,【ツリーホロウゲート】,ツリーホロウゲート,ツリーホロウゲート,▶,MP11,,大木1本,接触/-,永続,なし,,木から木へと移動する門を作る,ML-19,,
551,ドルイド,森羅魔法,,12,⏩△【マインドプロテクター】,マインドプロテクター,マインドプロテクター,⏩△,MP7,,1体全,1(10m)/起点指定,10秒(1R),任意,,対象を精神効果から完全防護し、精神効果を解除する,ML-19,,
552,ドルイド,森羅魔法,,12,【イグノースティヴサック】,イグノースティヴサック,イグノースティヴサック,▶,MP14,,1体,接触/-,一瞬,生命/消滅,,18+魔力点の物理ダメージを与え、HPを吸収,ML-19,,
553,ドルイド,森羅魔法,,12,【クライオボルト】,クライオボルト,クライオボルト,▶,MP6,,1体,2(20m)/射撃,一瞬,生命/半減,水・氷,k30ダメージ,ML-19,,
554,ドルイド,森羅魔法,,12,【ナチュラルパワーⅡ】,ナチュラルパワーⅡ,ナチュラルパワー,▶,MP0,,術者,術者/-,特殊,任意,,一時的なMPを得る,ML-19,,
555,ドルイド,森羅魔法,シンボリックロア,13,⏩△【ギフテッドプラント】,ギフテッドプラント,ギフテッドプラント,⏩△,MP8,,1体全,1(10m)/起点指定,10秒(1R),任意,,対象に魔法にかかわる戦闘特技を与える,ML-20,,
556,ドルイド,森羅魔法,,13,【パニッシュアンネイチャー】,パニッシュアンネイチャー,パニッシュアンネイチャー,▶,MP14,,全エリア(半径30m)/すべて,術者/-,3分(18R),消滅,,アンデッドと魔神の行動判定-2,ML-20,,
557,ドルイド,森羅魔法,,13,【ビームストライク】,ビームストライク,ビームストライク,▶,MP8,,任意の地点,2(30m)/貫通,一瞬,生命/半減,純エネルギー,k30ダメージ,ML-20,,
558,ドルイド,森羅魔法,,13,【ルナアタック】,ルナアタック,ルナアタック,▶,MP18,,1体,1(10m)/起点指定,一瞬,必中,,18～36+魔力点の物理ダメージ,ML-20,,
559,ドルイド,森羅魔法,シンボリックロア,14,⏩△【ビッグディフェンダー/ロック】,ビッグディフェンダー/ロック,ビッグディフェンダーロック,⏩△,MP12,,1体X,2(30m)/起点指定,10秒(1R),任意,,近接攻撃、遠隔攻撃から完全防護,ML-20,,
560,ドルイド,森羅魔法,,14,【サプレッシングゲイザー】,サプレッシングゲイザー,サプレッシングゲイザー,▶,MP8,,1体X,1(10m)/起点指定,10秒(1R),消滅,精神効果,行動判定-2、MP4点消費で累積挑戦可能,ML-20,,
561,ドルイド,森羅魔法,,14,【バイオレントストーム】,バイオレントストーム,バイオレントストーム,▶,MP14,,全エリア(半径30m)/すべて,術者/-,一瞬,生命/消滅,,12+魔力点の物理ダメージを与え、転倒させる,ML-20,,
562,ドルイド,森羅魔法,,14,【ビッグフライト】,ビッグフライト,ビッグフライト,▶,MP15,,1エリア(半径3m)/5,術者/-,1時間,任意,,空を運ばれる,ML-20,,
563,ドルイド,森羅魔法,,15,【オールダウン】,オールダウン,オールダウン,▶,MP15,,全エリア(半径30m)/すべて,術者/-,一瞬,消滅,,あらゆる効果を解除、毒属性、病気属性は達成値問わず,ML-21,,
564,ドルイド,森羅魔法,,15,【ダブルストンプ】,ダブルストンプ,ダブルストンプ,▶,MP24,,2体,1(10m)/起点指定,一瞬,必中,,24～30+魔力点の物理ダメージ,ML-21,,
565,ドルイド,森羅魔法,,15,【ナチュラルヘイヴン】,ナチュラルヘイヴン,ナチュラルヘイヴン,▶,MP30,,接触点,接触/-,1日,なし,,避難所とそこへの扉を作製する,ML-21,,
566,ドルイド,森羅魔法,,15,【ブレイズシャワー】,ブレイズシャワー,ブレイズシャワー,▶,MP16,,1エリア(半径3m)/5,1(10m)/起点指定,一瞬,生命/半減,炎,k50ダメージ,ML-21,,
567,デーモンルーラー,召異魔法,,1,【サーチデーモン】,サーチデーモン,サーチデーモン,▶,MP2,,全エリア(半径30m)/すべて,術者/-,一瞬,必中,,魔神の存在を感知する,ML-34,,
568,デーモンルーラー,召異魔法,,1,【デモンズアーム】,デモンズアーム,デモンズアーム,▶,MP5,,術者,術者/-,3分(18R),任意,,武器に魔神の力を纏わせ、ダメージと防護点を与える,ML-34,,
569,デーモンルーラー,召異魔法,,1,【ブラッドブランデッド】,ブラッドブランデッド,ブラッドブランデッド,▶,MP2,,1体,1(10m)/起点指定,一瞬,必中,呪い,HPを2点吸収する,ML-34,,
570,デーモンルーラー,召異魔法,,2,⏩△【デモンズドッジ】,デモンズドッジ,デモンズドッジ,⏩△,MP4,,術者,術者/-,10秒(1R),任意,,「デーモンルーラー技能レベル+敏捷度ボーナス」で回避力判定を行える,ML-34,,
571,デーモンルーラー,召異魔法,,2,【アヴェンジャー】,アヴェンジャー,アヴェンジャー,▶,MP4,,1体,1(10m)/起点指定,一瞬,半減,呪い,術者と対象にダメージを与える,ML-34,,
572,デーモンルーラー,召異魔法,,2,【デモンズセンス】,デモンズセンス,デモンズセンス,▶,MP4,,術者,術者/-,1時間,任意,,暗視を得て「聞き耳判定」「危険感知判定」+2,ML-34,,
573,デーモンルーラー,召異魔法,,2,【デモンズポテンシャル】,デモンズポテンシャル,デモンズポテンシャル,▶,MP3,,全エリア(半径30m)/空間,術者/-,3分(18R),任意,,「魔神行動表」の達成値+1、累積,ML-34,,
574,デーモンルーラー,召異魔法,,3,⏩【リコマンド】,リコマンド,リコマンド,⏩,MP4,,術者,術者/-,30秒(3R),任意,,「魔神行動表」を1回だけ振り直せる,ML-34,,
575,デーモンルーラー,召異魔法,,3,【ヴェノムブレス】,ヴェノムブレス,ヴェノムブレス,▶,MP8,,1エリア(半径4m)/10,1(10m)/射撃,一瞬,半減,毒,k10ダメージ,ML-34,,
576,デーモンルーラー,召異魔法,,3,【バリアドサークル】,バリアドサークル,バリアドサークル,▶,MP3,,全エリア(半径30m)/空間,術者/-,1日,必中,,範囲内に侵入してきた存在を察知する,ML-34,,
577,デーモンルーラー,召異魔法,,4,⏩△【アナザーノレッジ】,アナザーノレッジ,アナザーノレッジ,⏩△,MP1,,術者,術者/-,特殊,任意,,魔神に関する知識を得る,ML-35,,
578,デーモンルーラー,召異魔法,,4,⏩【イビルコントラクト】,イビルコントラクト,イビルコントラクト,⏩,MP3,,全エリア(半径30m)/空間,術者/-,10秒(1R),任意,,「魔神行動表」による達成値+2、与える物理・魔法ダメージ+2。「送還判定」-1,ML-35,,
579,デーモンルーラー,召異魔法,,4,【デモンズテイル】,デモンズテイル,デモンズテイル,▶,MP4,,術者,術者/-,10秒(1R),任意,,近接攻撃への攻撃障害を遠隔攻撃のものに減じる,ML-35,,
580,デーモンルーラー,召異魔法,,5,【アストラルバーン】,アストラルバーン,アストラルバーン,▶,MP5,,1体,2(30m)/射撃,一瞬,半減,衝撃,k10ダメージ、距離によって修正,ML-35,,
581,デーモンルーラー,召異魔法,,5,【イビルシルエット】,イビルシルエット,イビルシルエット,▶,MP8,,接触点,接触/-,1時間,なし,,魔神の幻影を作り出す,ML-35,,
582,デーモンルーラー,召異魔法,,5,【ブラッドミスト】,ブラッドミスト,ブラッドミスト,▶,MP5＆HP5,,1エリア(半径6m)/すべて,術者/-,10秒(1R),短縮,毒,命中力・回避力判定-2,ML-35,,
583,デーモンルーラー,召異魔法,,6,【ソウルイーター】,ソウルイーター,ソウルイーター,▶,MP1,,術者,接触/-,一瞬,任意,呪い,術者のMPを「デーモンルーラー技能レベル」点回復する。「送還判定」-1,ML-35,,
584,デーモンルーラー,召異魔法,,6,【デモニックスキン】,デモニックスキン,デモニックスキン,▶,MP8,,1体,接触/-,3分(18R),短縮,呪い,自身の防護点を減少させ、その半分だけ対象の防護点を減少させる,ML-35,,
585,デーモンルーラー,召異魔法,,6,【マイティデーモン】,マイティデーモン,マイティデーモン,▶,MP6,,全エリア(半径30m)/空間,術者/-,3分(18R),必中,,召喚した魔神の与えるダメージ+3,ML-35,,
586,デーモンルーラー,召異魔法,,7,【ダークソウル】,ダークソウル,ダークソウル,▶,MP8,,1体X,2(30m)/起点指定,一瞬/10秒(1R),消滅,呪い,気絶している対象を意のままに動かし、覚醒させる,ML-36,,
587,デーモンルーラー,召異魔法,,7,【デモンスクリーム】,デモンスクリーム,デモンスクリーム,▶,MP6,,1エリア(半径6m)/20,術者/-,3分(18R),短縮,精神効果,生命・精神抵抗力-2,ML-36,,
588,デーモンルーラー,召異魔法,,7,【ブランチ】,ブランチ,ブランチ,▶,MP10,,全エリア(半径30m)/空間,術者/-,10秒(1R),任意,,「魔神行動表」を2回使用する。「送還判定」-2,ML-36,,
589,デーモンルーラー,召異魔法,,8,⏩△【デモンズタックス】,デモンズタックス,デモンズタックス,⏩△,MP6,,術者,術者/-,30秒(3R),任意,呪い,術者が受けたダメージを一部返す,ML-36,,
590,デーモンルーラー,召異魔法,,8,【アンサモンゲート】,アンサモンゲート,アンサモンゲート,▶,MP6,,術者,術者/-,10分(60R),任意,,送還判定+4、送還時のMP回復なし,ML-36,,
591,デーモンルーラー,召異魔法,,8,【ブラッドマーカー】,ブラッドマーカー,ブラッドマーカー,▶,MP5,,1体全,接触/-,永続,消滅,,対象の居場所を把握し、視認なしに召異魔法の対象にできる,ML-36,,
592,デーモンルーラー,召異魔法,,9,⏩△【アンチマジックバリア】,アンチマジックバリア,アンチマジックバリア,⏩△,MP5,,術者,術者/-,3分(18R),任意,,遠隔攻撃や「形状：射撃」の効果による魔法ダメージ-5,ML-36,,
593,デーモンルーラー,召異魔法,,9,【ヴェノムエスパーダ】,ヴェノムエスパーダ,ヴェノムエスパーダ,▶,MP9,,任意の地点,1(移動力m)/突破,一瞬,半減,毒,k40ダメージ,ML-36,,
594,デーモンルーラー,召異魔法,,9,【デモンズシード】,デモンズシード,デモンズシード,▶,MP6,,接触点,接触/-,一瞬,なし,,〈魔神の種〉を作り出す,ML-36,,
595,デーモンルーラー,召異魔法,,10,△【アトロフィー】,アトロフィー,アトロフィー,△,MP6,,1体全,2(30m)/起点指定,3分(18R),必中,呪い,先制判定-2,ML-37,,
596,デーモンルーラー,召異魔法,,10,【デモンズハンド】,デモンズハンド,デモンズハンド,▶,MP10,,術者,術者/-,3分(18R),任意,,「射程：接触」の召異魔法を「射程：1(10m)」の対象に行使可能,ML-37,,
597,デーモンルーラー,召異魔法,,10,【デモンズフライト】,デモンズフライト,デモンズフライト,▶,MP10,,術者,術者/-,1時間,任意,,移動力20で飛行可能。近接攻撃への命中力・回避力+1,ML-37,,
598,デーモンルーラー,召異魔法,,11,⏩△【ディフィシェンシー】,ディフィシェンシー,ディフィシェンシー,⏩△,MP4,,1エリア(半径6m)/20,2(30m)/起点指定,10秒(1R),必中,呪い,対象に弱点を与える,ML-37,,
599,デーモンルーラー,召異魔法,,11,⏩△【リープトゥゲート】,リープトゥゲート,リープトゥゲート,⏩△,MP10,,術者,術者/-,一瞬,任意,,“異界の門”の傍に転移する,ML-37,,
600,デーモンルーラー,召異魔法,,11,⏩【デモンズブレード】,デモンズブレード,デモンズブレード,⏩,MP3,,術者,術者/-,10秒(1R),任意,,MPダメージ可のk50の近接武器を作製する,ML-37,,
601,デーモンルーラー,召異魔法,,12,【イミテイトシャドウ】,イミテイトシャドウ,イミテイトシャドウ,▶,MP8,,1体X,接触/-,1日,任意,,対象は影に擬態する,ML-38,,
602,デーモンルーラー,召異魔法,,12,【イミテイトシャドウ】,イミテイトシャドウ,イミテイトシャドウ,▶,MP10,,1体全,1(10m)/起点指定,永続,消滅,,対象を魔法陣に封じる,ML-38,,
603,デーモンルーラー,召異魔法,,12,【デーモンスワップ】,デーモンスワップ,デーモンスワップ,▶,MP7,,接触点,接触/-,一瞬,必中,,召喚した魔神を“異界の門”に戻し、新たな魔神を召喚する,ML-38,,
604,デーモンルーラー,召異魔法,,13,⏩△【デモンズスプレッド】,デモンズスプレッド,デモンズスプレッド,⏩△,MP8,,術者,術者/-,3分(18R),任意,,属性ダメージを半減する,ML-38,,
605,デーモンルーラー,召異魔法,,13,【ソウルドレイン】,ソウルドレイン,ソウルドレイン,▶,MP20,,1体,1(10m)/射撃,一瞬,半減,呪い,HPとMPにk40ダメージ。術者は10点を回復,ML-38,,
606,デーモンルーラー,召異魔法,,13,【デモンズスナップ】,デモンズスナップ,デモンズスナップ,▶,MP16,,接触点,接触/-,一瞬,なし,,魔神ラグアドログを召喚し、行動させる,ML-38,,
607,デーモンルーラー,召異魔法,,14,【バーストゲート】,バーストゲート,バーストゲート,▶,MP22,,1体,2(50m)/貫通,一瞬,半減,純エネルギー,k70ダメージ,ML-39,,
608,デーモンルーラー,召異魔法,,14,【フェイクメモリー】,フェイクメモリー,フェイクメモリー,▶,MP8,,1体X,接触/-,永続,消滅,呪い,偽りの記憶を植え付ける,ML-39,,
609,デーモンルーラー,召異魔法,,14,【ワースレスマジック】,ワースレスマジック,ワースレスマジック,▶,MP12,,1体,1(10m)/起点指定,3分(18R),短縮,呪い,魔法名を2つ指定し、使用を禁じる,ML-39,,
610,デーモンルーラー,召異魔法,,15,【ソウルサクリファイス】,ソウルサクリファイス,ソウルサクリファイス,▶,MP50,,術者,術者/-,永続,任意,,ドッペルゲンガーになる,ML-39,,
611,デーモンルーラー,召異魔法,,15,【デモンズレギオン】,デモンズレギオン,デモンズレギオン,▶,MP50,,術者,術者/-,1日,任意,,魔神の軍勢を引き連れる,ML-39,,
612,デーモンルーラー,召異魔法,,15,【リーサルディメンジョン】,リーサルディメンジョン,リーサルディメンジョン,▶,MP36,,全エリア(半径100m)/空間,術者/-,3分(18R),必中,,k30ダメージを受け続ける空間を作り出す,ML-39,,
